Category,Item,Consumer Units,Single No earner,Single One earner,Two + No earner,Two + One earner,Two + Two earners,"2 + Three or
more
earners",,,,"Table 1600. Number of earners in consumer unit: Annual expenditure means, shares, standard errors, and coefficient of variation, Consumer Expenditure Survey, 2013"
Demographics,Number of consumer units (in thousands),"125,670","16,287","21,482","12,730","25,960","39,074","10,137",,,,"Source: Consumer Expenditure Survey, U.S. Bureau of Labor Statistics, September, 2014"
Demographics,Income before Taxes Mean,"$63,784","$18,467","$42,775","$33,241","$60,151","$94,313","$111,100",,,,
Demographics,Income before Taxes SE,922.65,455.48,"1,181.15","1,423.83","1,654.96","1,740.11","3,321.42",,,,
Demographics,Income before Taxes CV(%),1.45,2.47,2.76,4.28,2.75,1.85,2.99,,,,
Demographics,Income after taxes Mean,"56,352","17,922","36,440","31,769","54,911","81,365","98,446",,,,
Demographics,Income after taxes SE,742.16,425.82,922.35,"1,173.25","1,309.06","1,342.28","2,704.38",,,,
Demographics,Income after taxes CV(%),1.32,2.38,2.53,3.69,2.38,1.65,2.75,,,,
Demographics,Age of reference person,50.1,67.2,43.8,64.1,47.5,44,48.3,,,,
Demographics,Average number of People in CU,2.5,1,1,2.4,3,3,4.4,,,,
Demographics,Average number of Children under 18,0.6,n.a.,n.a.,0.4,1,0.8,0.9,,,,
Demographics,Average number of Adults 65 and older,0.3,0.7,0.1,1.2,0.3,0.1,0.2,,,,
Demographics,Average number of Earners,1.3,n.a.,1,n.a.,1,2,3.4,,,,
Demographics,Average number of Vehicles,1.9,0.9,1.2,1.7,1.9,2.3,3.2,,,,
Demographics,Percent Distribution of Reference person: Men,47,38,54,47,43,50,49,,,,
Demographics,Percent Distribution of Reference person: Women,53,62,46,53,57,50,51,,,,
Demographics,Percent Distribution of Reference person: Homeowner,64,58,44,75,62,71,78,,,,
Demographics,Percent Distribution of Reference person: With mortgage,37,13,28,21,38,53,58,,,,
Demographics,Percent Distribution of Reference person: Without mortgage,26,45,16,54,25,19,19,,,,
Demographics,Percent Distribution of Reference person: Renter,36,42,56,25,38,29,22,,,,
